return_id,order_id,return_amount,return_date
172,21326,326.37,2025-06-21
173,86234,1471.54,2025-10-24
174,88127,169.45,2025-08-26
175,29824,2579.49,2024-07-02
176,92485,6771.88,2026-05-04
177,68425,6522.38,2024-11-21
178,64484,4030.35,2024-02-04
179,51020,3027.88,2025-08-16
180,26754,5025.91,2025-03-03
181,49964,4061.37,2023-11-02
182,42732,1476.91,2025-09-08
183,29057,3307.73,2024-07-13
184,55318,3610.81,2026-03-26
185,35497,3235.22,2025-05-07
186,56338,1658.54,2024-08-27
187,79278,2672.27,2023-09-15
188,5465,6576.75,2025-10-15
189,70156,2476.27,2025-10-20
190,70670,4279.41,2025-09-10
191,56014,172.76,2026-06-12
192,12086,1416.89,2025-07-04
193,56819,3783.02,2025-09-03
194,20001,2260.16,2026-03-20
195,69067,1143.14,2024-05-19
196,50453,4364.19,2024-03-02
197,90710,1435.31,2025-11-01
198,52885,1918.72,2026-02-15
199,30964,4092.22,2026-04-16
200,34574,2052.13,2025-12-21
201,15295,1519.75,2025-07-03
202,27919,6603.1,2025-05-24
203,46121,741.12,2026-05-23
204,35074,2696.42,2025-06-25
205,10551,2716.28,2023-10-23
206,91128,1171.18,2024-08-20
207,691,469.07,2024-02-25
208,77730,975.06,2024-11-07
209,36097,9370.13,2024-04-23
210,65352,5008.71,2023-07-25
211,11041,1323.73,2026-06-11
212,4222,4470.09,2024-05-22
213,822,234.99,2025-12-15
214,38129,2868.83,2025-05-06
215,89152,943.31,2025-04-03
216,29232,316.59,2026-05-11
217,50557,6704.18,2026-04-21
218,33685,647.52,2026-01-21
219,58754,10709.03,2023-10-22
220,27023,239.71,2025-10-05
221,36906,627.63,2024-02-26
222,271,640.83,2026-02-08
223,8867,4182.63,2026-06-14
224,15007,1146.7,2024-02-21
225,4689,6682.49,2025-01-14
226,81996,1094.17,2024-06-06
227,84373,3284.86,2025-07-11
228,2515,1985.57,2026-03-04
229,36400,91.45,2025-10-12
230,38869,2410.19,2024-06-21
231,58245,6164.67,2024-08-12
232,30410,1041.48,2024-05-10
233,54795,3248.57,2025-01-14
234,19264,1221.65,2024-06-28
235,83910,124.65,2026-01-11
236,26974,422.18,2023-08-11
237,7130,1304.04,2023-12-16
238,7145,419.53,2025-12-07
239,45466,1037.81,2024-10-02
240,1967,7660.49,2025-01-19
241,15153,66.29,2026-06-12
242,19114,834.96,2025-06-11
243,76207,179.98,2026-03-05
244,32142,1100.63,2025-12-08
245,21935,2195.92,2025-11-03
246,40360,913.47,2024-11-29
247,53842,4656.39,2025-07-06
248,9163,422.02,2023-11-11
249,87844,1231.64,2024-07-12
250,37630,484.6,2023-07-31
251,83305,3169.22,2024-10-09
252,66270,575.39,2025-06-01
253,34654,311.58,2026-02-12
254,41963,1869.93,2024-06-01
255,39591,279.61,2025-07-02
256,81036,3126.73,2024-05-05
257,10981,3675.62,2025-04-24
258,56300,2032.15,2024-12-13
259,61549,355.95,2024-11-05
260,88401,1314.97,2026-03-12
261,44324,719.33,2025-04-03
262,55208,268.58,2023-08-31
263,53528,2107.69,2024-06-14
264,26971,5485.04,2025-09-26
265,73218,717.77,2023-09-17
266,65891,441.18,2025-10-05
267,42222,4838.36,2025-03-02
268,97866,2186.58,2025-04-24
269,12251,1396.73,2025-03-20
270,69437,8566.83,2023-07-02
271,38433,4423.51,2024-08-25
272,40890,2005.05,2023-10-07
273,30999,553.32,2024-12-08
274,56146,4096.04,2024-10-13
275,95414,394.63,2023-09-15
276,22156,8527.51,2025-12-16
277,17614,1908.71,2024-03-25
278,56444,1738.29,2024-09-15
279,98400,1111.19,2025-07-31
280,24053,353.48,2023-09-27
281,50243,1116.16,2026-03-30
282,58999,962.11,2026-05-12
283,31345,946.73,2023-09-11
284,61242,558.06,2025-01-11
285,92530,3196.2,2025-11-06
286,80829,728.33,2026-05-16
287,51726,191.92,2024-09-05
288,33880,3402.17,2026-04-30
289,83007,1709.08,2024-11-07
290,73909,2551.21,2023-08-27
291,67247,1626.07,2025-09-09
292,88808,8180.74,2025-08-03
293,13122,3011.09,2025-02-22
294,8258,573.91,2026-06-22
295,93381,2785.6,2025-09-07
296,13915,1348.91,2025-12-13
297,30903,3371.08,2025-06-05
298,72859,1407.78,2024-12-27
299,20293,2993.6,2025-02-13
300,58171,4776.83,2025-08-19
301,20950,90.11,2025-01-05
302,36695,6104.62,2024-11-13
303,8526,1296.87,2024-11-20
304,78272,742.35,2026-03-03
305,77403,1598.06,2024-10-23
306,77652,5405.07,2025-03-24
307,99837,5481.29,2025-11-25
308,92272,636.67,2024-09-25
309,29776,2711.53,2024-05-08
310,34808,4975.91,2024-01-24
311,16886,11282.19,2025-09-07
312,49984,3748.73,2024-02-14
313,62615,1525.37,2023-11-08
314,14229,1657.08,2026-01-25
315,52177,1587.85,2024-12-29
316,8029,109.25,2024-05-20
317,28922,6038.09,2025-09-01
318,69420,560.22,2023-08-28
319,70812,1155.07,2024-02-26
320,34364,9247.51,2025-09-19
321,43204,1071.58,2025-06-17
322,36795,1334.65,2023-10-27
323,97027,6609.32,2025-05-04
324,63343,5010.89,2025-06-08
325,36956,1334.97,2023-10-24
326,69229,4675.74,2023-12-11
327,9424,1414.31,2025-12-23
328,86001,652.8,2024-02-14
329,16959,6576.65,2026-03-15
330,21615,1852.39,2025-12-26
331,61462,4033.79,2025-03-18
332,61774,169.18,2025-11-14
333,86802,6666.93,2024-05-25
334,67503,1183.43,2024-08-24
335,79371,696.17,2025-01-26
336,34497,7256.58,2026-03-03
337,43009,474.94,2025-03-13
338,91598,5571.27,2025-04-04
339,75439,5077.64,2025-07-18
340,29720,3006.96,2025-10-19
341,38607,4758.21,2025-03-19
342,77127,8316.05,2024-02-12
343,97088,2438.69,2024-06-26
344,24627,4204.22,2025-08-10
345,61815,2693.42,2024-01-01
346,69756,1231.96,2025-04-28
347,11931,907.1,2025-02-20
348,16161,1769.35,2024-07-09
349,47440,5257.41,2024-04-04
350,34606,636.99,2025-10-04
351,14107,3350.23,2023-07-17
352,90651,2079.24,2023-09-18
353,98435,7714.03,2024-09-04
354,17503,1807.61,2023-08-27
355,63486,933.01,2026-01-30
356,33076,5023.57,2024-04-13
357,79809,875.9,2025-01-24
358,90791,1953.7,2026-04-05
359,93365,2314.72,2026-04-17
360,18293,1040.26,2024-08-28
361,43850,5366.96,2025-03-10
362,35068,3015.96,2024-02-19
363,61393,2691.25,2026-03-10
364,27382,113.82,2024-10-23
365,85414,4258.55,2026-04-24
366,13798,7715.04,2023-10-24
367,1729,5118.0,2025-08-01
368,66101,4404.23,2025-09-07
369,7678,50.8,2025-09-20
370,73315,1046.96,2023-08-29
371,69696,770.73,2025-07-06
372,5439,2445.19,2024-09-17
373,73381,5550.4,2024-07-04
374,34591,2691.71,2025-01-03
375,8453,3797.21,2024-03-02
376,6235,6691.43,2024-10-15
377,56580,6902.55,2026-06-20
378,44069,4857.85,2024-05-11
379,73662,5383.11,2023-10-12
380,18242,1757.96,2023-10-29
381,72560,523.88,2024-08-28
382,11373,310.37,2024-12-08
383,53068,362.88,2025-08-02
384,54397,2030.38,2023-12-05
385,60744,983.08,2024-02-12
386,4233,719.44,2024-02-24
387,66150,258.23,2026-01-24
388,227,2397.45,2024-04-03
389,38051,985.55,2026-02-21
390,75831,3280.66,2024-08-13
391,11713,6822.89,2025-08-11
392,89799,4075.27,2024-03-19
393,84722,102.35,2023-08-16
394,11651,608.87,2024-09-12
395,63793,4172.06,2023-07-18
396,18332,4845.64,2024-09-17
397,59465,404.92,2025-02-10
398,31839,963.66,2024-04-19
399,35888,1514.87,2025-04-21
400,70558,2210.45,2025-06-16
401,68842,2161.1,2026-04-14
402,44300,1480.14,2025-12-29
403,39432,1014.23,2025-01-06
404,71758,883.54,2025-05-24
405,51267,1167.44,2024-07-13
406,49809,415.97,2024-12-31
407,86689,6459.96,2024-12-26
408,61005,1122.08,2024-04-27
409,60771,2486.86,2025-03-18
410,88,376.83,2026-06-02
411,77204,1161.89,2025-09-08
412,51988,947.16,2024-05-16
413,82150,8323.0,2025-02-13
414,43734,1415.48,2026-04-01
415,95182,3166.2,2024-03-20
416,88477,117.07,2023-07-31
417,62006,319.31,2023-07-31
418,30884,4705.3,2025-02-09
419,50767,586.28,2025-02-13
420,74956,731.35,2025-10-14
421,12751,2273.02,2024-03-01
422,36507,7885.33,2025-01-16
423,9938,4761.59,2024-08-17
424,18374,3283.62,2023-11-05
425,92221,1552.57,2024-10-14
426,90730,277.53,2025-01-30
427,12397,3975.59,2025-05-25
428,94922,1155.1,2025-12-09
429,33802,66.53,2026-02-08
430,1231,599.24,2023-07-19
431,20335,43.23,2025-06-06
432,78044,3432.06,2025-10-14
433,40351,1587.65,2025-10-27
434,50863,1437.79,2025-10-22
435,65410,1451.02,2025-05-22
436,98466,268.1,2024-02-06
437,83943,1237.58,2024-03-15
438,35641,2817.64,2025-04-24
439,76610,1134.14,2026-03-23
440,1046,573.56,2025-01-21
441,97796,6984.63,2024-07-03
442,5938,3027.27,2023-08-15
443,57688,2442.03,2024-07-12
444,7896,5741.25,2026-02-24
445,87485,1350.19,2026-06-27
446,17571,4525.59,2026-05-30
447,53065,1325.13,2023-11-02
448,11142,1260.25,2024-12-22
449,96937,1158.09,2025-03-31
450,50491,8495.83,2025-10-06
451,33223,4083.28,2025-03-01
452,82507,1675.61,2025-07-04
453,36297,1458.33,2023-08-08
454,67925,562.05,2024-06-01
455,94405,2518.79,2026-05-09
456,84993,403.48,2026-03-06
457,62123,5000.1,2025-12-22
458,65744,2904.05,2025-03-06
459,40247,981.0,2023-07-31
460,16362,5220.09,2025-10-22
461,55939,783.15,2026-03-25
462,28675,1236.58,2026-02-13
463,23958,275.69,2026-05-06
464,7859,519.58,2026-04-26
465,94213,6889.2,2025-12-13
466,63352,4001.8,2025-10-30
467,50199,120.19,2025-01-12
468,55239,463.76,2026-05-25
469,98341,7607.87,2025-09-21
470,13706,11066.18,2025-07-16
471,13580,4539.65,2024-05-20
472,34571,5549.87,2025-02-15
473,93622,8813.53,2026-02-23
474,2105,5858.36,2024-08-24
475,74361,1400.66,2025-10-03
476,85889,699.05,2026-05-20
477,99907,115.7,2026-02-26
478,56430,1266.35,2025-05-23
479,86503,1087.43,2025-02-07
480,12470,3538.13,2023-09-24
481,14779,4481.46,2026-03-26
482,27544,1699.6,2026-04-30
483,97977,392.16,2023-11-12
484,46123,55.31,2025-10-20
485,49369,1817.84,2024-01-06
486,1333,3713.98,2025-05-25
487,2361,4576.04,2024-03-18
488,82418,3180.45,2024-10-16
489,45149,3561.2,2025-06-04
490,7842,4837.06,2025-08-06
491,86291,976.85,2024-12-22
492,36035,837.46,2026-01-11
493,18146,976.21,2026-05-24
494,70746,8488.31,2025-10-23
495,78804,227.21,2025-08-05
496,94236,3820.18,2023-11-16
497,52491,1121.35,2025-06-15
498,88895,1495.05,2024-11-13
499,59269,3416.31,2025-10-12
500,19663,1560.35,2025-08-12
501,49826,7964.36,2026-01-09
502,1323,2524.88,2025-08-02
503,37624,5476.39,2025-06-16
504,20087,5109.89,2025-10-29
505,88366,489.0,2023-08-26
506,92896,5357.82,2024-07-24
507,69588,331.63,2024-03-17
508,26587,2001.49,2025-02-06
509,39879,1488.54,2025-07-30
510,75299,756.32,2025-09-16
511,53979,472.33,2026-01-07
512,49674,404.52,2024-10-19
513,75962,1183.14,2024-03-17
514,25356,366.0,2023-07-21
515,27734,1603.71,2024-02-13
516,18006,1612.35,2025-12-08
517,22673,1599.36,2025-10-24
518,50381,8360.74,2023-08-08
519,59039,6309.25,2024-06-27
520,43445,2105.37,2024-12-23
521,2281,4283.56,2025-07-18
522,77965,2463.81,2025-12-16
523,96126,11782.19,2025-09-13
524,77648,262.8,2025-12-19
525,31432,601.04,2026-05-12
526,31923,2451.09,2025-05-07
527,15809,3801.76,2024-09-17
528,85542,3842.8,2025-04-18
529,15496,7880.09,2024-03-05
530,77432,2750.67,2026-03-30
531,57937,4569.96,2023-10-23
532,18950,3273.52,2024-03-28
533,22584,2966.14,2025-01-15
534,6749,990.42,2024-10-05
535,80574,98.59,2025-06-20
536,53071,3761.34,2025-11-23
537,1403,330.99,2023-10-18
538,37782,1891.07,2024-01-21
539,64680,655.2,2025-02-03
540,79961,6672.08,2026-04-22
541,23788,2164.2,2023-07-10
542,30419,110.92,2024-05-09
543,59035,6597.71,2025-11-30
544,20331,590.85,2026-05-17
545,95653,1553.62,2024-09-23
546,884,2746.84,2025-09-19
547,41516,685.49,2025-02-04
548,14039,4149.03,2023-08-04
549,44970,1457.39,2024-04-13
550,32866,2180.25,2025-02-09
551,79369,6449.31,2023-12-28
552,3254,436.92,2024-10-16
553,2938,76.57,2025-03-26
554,36839,5134.62,2024-06-03
555,25040,6928.1,2024-07-01
556,23395,662.41,2023-10-19
557,81993,3646.22,2026-04-11
558,56294,1226.51,2023-12-04
559,1319,906.84,2024-08-04
560,95285,5497.3,2024-08-03
561,32593,2753.7,2024-08-11
562,86254,765.47,2025-05-07
563,79995,2051.37,2025-04-05
564,63781,3290.08,2025-04-13
565,37109,1743.75,2024-06-26
566,1350,3442.9,2024-06-21
567,4791,3703.63,2025-02-10
568,96595,1505.57,2024-11-18
569,87445,1833.2,2023-10-31
570,87608,16.93,2024-07-05
571,84334,3724.14,2026-05-25
572,58135,334.02,2024-10-01
573,18635,5643.93,2025-12-29
574,3394,3452.07,2024-10-09
575,72229,3141.5,2025-04-12
576,37588,2910.82,2024-04-19
577,11447,1923.05,2024-08-31
578,92169,1965.71,2025-03-22
579,33055,2333.28,2024-10-21
580,93269,343.96,2025-11-16
581,59809,56.12,2024-02-23
582,61578,4210.9,2024-08-07
583,49661,3282.43,2024-12-21
584,11061,164.99,2025-05-05
585,1551,15.85,2024-10-09
586,80751,2998.88,2026-03-14
587,4511,7960.07,2024-10-05
588,26439,828.18,2024-08-28
589,86709,261.96,2024-02-04
590,83004,406.67,2024-01-19
591,80167,1973.08,2024-06-24
592,48079,3243.21,2024-05-14
593,16302,2679.05,2024-11-13
594,17495,10471.44,2024-05-22
595,85699,76.99,2024-06-02
596,61706,222.5,2025-03-25
597,49149,3228.46,2025-06-13
598,70173,1501.46,2024-03-30
599,96223,5563.82,2025-12-10
600,52413,1821.58,2023-09-22
601,97494,1248.07,2026-05-14
602,9094,2258.81,2025-11-19
603,6268,6877.11,2025-01-07
604,81824,1160.19,2025-05-12
605,40204,5276.9,2026-02-10
606,69326,267.55,2024-12-19
607,57863,2272.11,2025-03-15
608,52992,4569.36,2025-02-23
609,89246,854.74,2025-11-30
610,26874,1570.05,2024-08-03
611,62597,2666.62,2025-12-17
612,47746,4360.55,2024-07-21
613,40991,1029.27,2025-11-10
614,13929,337.89,2026-04-18
615,94954,247.43,2026-05-31
616,18743,5605.99,2024-05-03
617,1058,263.31,2023-12-18
618,4338,367.33,2025-04-18
619,34171,15.5,2025-07-08
620,96506,4948.47,2025-01-21
621,2030,9880.85,2024-11-26
622,1431,4655.06,2024-08-30
623,35084,543.04,2025-03-13
624,33932,1526.61,2024-04-19
625,55376,1928.08,2025-07-12
626,22825,3492.88,2024-11-29
627,73647,534.03,2025-04-18
628,25270,2366.08,2026-03-29
629,64035,3550.59,2023-09-03
630,14806,288.76,2025-06-28
631,60298,2125.03,2025-03-31
632,50079,1667.57,2024-05-20
633,31592,2170.58,2024-07-06
634,586,1875.09,2025-02-09
635,36905,3058.18,2026-06-13
636,21333,7815.44,2024-12-08
637,39457,881.29,2025-02-11
638,12534,392.56,2025-06-13
639,40816,1273.35,2025-01-15
640,68317,5321.61,2025-03-06
641,42918,1568.43,2024-09-21
642,5216,4367.01,2025-06-23
643,83013,1985.17,2023-08-13
644,40200,5137.38,2025-05-21
645,64274,1579.51,2025-11-27
646,88544,8270.7,2024-11-05
647,834,6329.46,2023-08-02
648,41273,1071.44,2024-05-02
649,79343,2968.73,2026-01-27
650,35016,2124.08,2024-03-01
651,66703,1919.42,2024-07-30
652,65644,4196.97,2025-07-13
653,18486,1932.9,2023-08-08
654,33334,800.31,2025-08-14
655,13552,920.29,2024-10-01
656,95261,1143.19,2023-07-20
657,17673,2808.59,2026-02-17
658,23146,5440.23,2024-05-03
659,61130,502.68,2026-03-25
660,69841,231.33,2024-08-12
661,96987,4476.19,2023-12-28
662,35754,3503.88,2025-03-26
663,33460,735.36,2024-11-10
664,14269,163.63,2026-06-30
665,22187,369.71,2024-05-04
666,15023,4554.18,2024-09-21
667,11969,15.75,2025-05-25
668,28566,298.62,2023-09-15
669,25842,4435.07,2023-08-07
670,279,355.93,2026-04-11
671,76183,6857.7,2024-08-27
672,6149,572.79,2024-09-07
673,61297,2888.43,2024-05-23
674,77960,199.79,2023-06-26
675,14150,1049.66,2025-04-15
676,47140,4690.83,2024-10-15
677,29518,2144.13,2025-07-01
678,10050,8078.22,2026-03-25
679,53346,1256.56,2026-01-17
680,75310,2633.11,2024-07-22
681,20613,1049.86,2026-02-05
682,34287,1716.21,2024-05-31
683,59397,537.92,2024-07-17
684,38721,263.04,2023-12-25
685,31121,355.94,2023-12-03
686,46500,8299.33,2024-03-08
687,31419,432.46,2025-03-12
688,1573,67.62,2026-06-03
689,78057,282.24,2024-07-17
690,53084,346.88,2024-03-22
691,27806,1044.19,2026-05-02
692,96811,1818.59,2024-09-01
693,97650,508.53,2023-12-22
694,15843,1503.62,2024-03-03
695,52853,1644.04,2024-01-30
696,50138,2444.56,2024-12-25
697,27538,491.46,2025-06-09
698,11856,2391.1,2024-03-03
699,41094,962.15,2024-08-18
700,40942,1149.98,2024-02-13
701,78213,304.74,2024-06-24
702,70852,2907.26,2023-08-18
703,85907,1493.36,2026-04-18
704,70227,977.91,2026-05-31
705,17248,2546.41,2025-11-05
706,91331,2801.77,2025-11-18
707,74412,4617.15,2025-11-27
708,13736,487.5,2024-02-12
709,75534,3735.27,2025-08-31
710,19779,7706.34,2024-11-02
711,8094,4028.38,2026-05-24
712,92534,1101.28,2023-08-03
713,82193,4620.83,2024-05-27
714,67484,512.82,2024-07-12
715,46678,195.26,2023-09-15
716,74258,311.62,2026-01-21
717,54569,8377.21,2024-02-07
718,61461,1108.81,2023-11-24
719,31022,3175.22,2024-10-08
720,2130,529.55,2023-07-13
721,95185,2824.73,2023-12-17
722,11864,4428.13,2024-02-10
723,55043,317.35,2024-03-05
724,14425,2339.63,2023-08-07
725,52151,1782.44,2024-06-28
726,9162,6377.49,2026-01-01
727,42666,58.29,2025-03-25
728,7316,2381.4,2024-05-13
729,2181,120.17,2026-01-05
730,67359,4875.94,2025-05-20
731,9601,660.98,2025-11-20
732,35737,10589.57,2024-03-14
733,30465,3632.66,2023-09-13
734,10572,6970.36,2025-04-12
735,85767,870.29,2025-04-03
736,6176,2090.73,2025-09-02
737,31197,1197.51,2025-02-09
738,77458,5074.43,2026-06-22
739,1222,4253.0,2024-01-15
740,74449,7040.02,2024-10-26
741,37038,2624.93,2025-03-14
742,16291,5232.09,2024-05-06
743,25453,2935.43,2024-06-03
744,33563,1695.72,2025-02-01
745,656,1657.1,2023-09-10
746,43384,467.77,2025-06-18
747,64833,8548.3,2024-06-28
748,37692,8190.78,2024-09-08
749,50195,2352.26,2024-03-11
750,64798,1462.28,2025-03-25
751,34273,8448.03,2025-07-03
752,4051,1766.22,2025-03-14
753,87072,305.39,2023-07-08
754,81773,224.92,2024-03-31
755,70997,935.03,2024-06-17
756,4368,223.08,2025-05-26
757,56346,1345.7,2026-04-04
758,45918,1777.71,2025-12-09
759,46369,2565.98,2025-04-24
760,90890,1386.48,2023-08-30
761,5074,439.11,2024-12-29
762,35991,815.45,2023-12-11
763,10502,5291.57,2025-04-03
764,55930,773.85,2023-12-18
765,11015,5039.82,2026-06-07
766,80128,1948.74,2024-08-21
767,40039,2043.2,2024-07-11
768,69576,1757.8,2025-02-23
769,8787,1293.81,2024-09-26
770,60719,6474.52,2025-09-16
771,55432,244.76,2024-12-13
772,95341,345.76,2025-05-04
773,19213,9683.24,2025-10-17
774,94482,930.61,2025-11-30
775,41047,3338.53,2024-04-25
776,3790,5617.16,2023-10-22
777,90092,3116.54,2023-08-19
778,58117,9107.3,2023-09-26
779,22507,3821.4,2024-09-18
780,17920,1965.96,2025-01-18
781,96635,4295.78,2024-04-01
782,8570,1652.07,2024-07-19
783,88174,872.25,2025-04-18
784,45795,4830.19,2025-11-02
785,73839,3058.48,2025-11-30
786,15461,5080.85,2023-10-05
787,8312,1869.12,2025-03-13
788,64112,983.61,2024-03-26
789,9661,4390.0,2024-08-30
790,857,2221.56,2025-05-10
791,57420,226.66,2024-07-10
792,40012,4356.06,2024-02-01
793,21178,3107.7,2024-03-08
794,85575,229.57,2026-05-12
795,22154,51.31,2025-03-14
796,66030,563.55,2024-03-14
797,11469,180.99,2023-06-29
798,65982,3599.47,2023-07-02
799,37238,2876.37,2024-06-02
800,72376,1983.2,2025-07-10
801,83143,4202.85,2025-01-04
802,20283,5443.28,2025-03-27
803,12388,2579.22,2024-08-15
804,29870,214.35,2024-01-09
805,78789,2997.57,2025-05-06
806,69418,1795.73,2026-05-17
807,10900,1366.81,2024-12-10
808,22740,2784.11,2026-03-04
809,1415,3117.93,2023-08-18
810,30953,947.41,2024-01-09
811,56835,94.09,2026-01-04
812,38936,2801.35,2025-08-17
813,32201,4260.54,2026-02-21
814,68845,243.6,2025-04-15
815,45692,5299.36,2023-11-06
816,72020,210.79,2023-07-19
817,80648,7278.19,2024-03-11
818,20428,7067.61,2023-09-21
819,11896,5255.63,2026-02-09
820,4625,149.06,2024-10-06
821,29506,3131.97,2023-10-06
822,12561,380.33,2024-01-17
823,38943,3565.27,2025-05-05
824,69606,778.95,2024-08-20
825,574,383.94,2023-09-26
826,84866,2295.73,2025-06-24
827,51744,3613.34,2026-05-24
828,74337,3822.03,2025-02-09
829,86885,475.61,2023-11-26
830,36239,1425.91,2026-05-26
831,50283,4008.14,2025-05-23
832,7749,323.12,2024-05-06
833,45120,1642.38,2025-11-01
834,99912,126.41,2025-03-22
835,73382,484.8,2024-08-11
836,60894,3163.93,2026-02-06
837,76179,1103.69,2023-09-06
